Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,79.269997,79.779999,79.070000,79.089996,76.439980,6173400
2017-10-05,79.169998,79.809998,79.080002,79.410004,76.749260,5138700
2017-10-06,78.779999,79.169998,78.250000,79.000000,76.352997,6246700
2017-10-09,79.500000,81.379997,79.400002,80.529999,77.831726,13493000
2017-10-10,82.680000,84.879997,82.610001,84.129997,81.311096,25124000
2017-10-11,84.580002,86.290001,84.099998,85.730003,82.857506,18561000
2017-10-12,85.699997,86.370003,85.059998,86.099998,83.215103,12877000
2017-10-13,86.239998,86.949997,86.239998,86.620003,83.717690,9389000
2017-10-16,86.580002,86.620003,85.019997,85.739998,82.867157,9300300
2017-10-17,85.500000,86.360001,85.320000,85.980003,83.099121,5851500
2017-10-18,86.150002,86.370003,86.010002,86.220001,83.331085,5472100
2017-10-19,86.150002,86.660004,85.769997,86.400002,83.505058,7029000
2017-10-20,86.599998,87.449997,86.279999,87.440002,84.510201,7617800
2017-10-23,87.339996,88.919998,87.260002,88.650002,85.679657,10586000
2017-10-24,88.690002,88.800003,87.910004,87.980003,85.032120,7700900
2017-10-25,87.849998,88.599998,87.430000,88.480003,85.515358,6408000
2017-10-26,88.660004,89.110001,88.019997,88.620003,85.650665,6484900
2017-10-27,88.139999,88.389999,87.150002,88.169998,85.215744,6617000
2017-10-30,87.940002,87.949997,86.389999,86.949997,84.036613,7052000
2017-10-31,86.860001,87.459999,86.599998,87.309998,84.384552,6006900
2017-11-01,87.070000,88.400002,87.000000,87.940002,84.993446,6176100
2017-11-02,88.279999,89.169998,87.800003,88.800003,85.824638,5183100
2017-11-03,89.019997,89.879997,88.760002,89.680000,86.675148,6512100
2017-11-06,89.419998,89.680000,88.680000,88.699997,85.727982,5257400
2017-11-07,88.870003,89.059998,88.309998,88.949997,85.969612,5349300
2017-11-08,89.110001,90.419998,89.099998,90.260002,87.235725,6767500
2017-11-09,89.940002,90.570000,89.349998,90.300003,87.274384,6904500
2017-11-10,90.239998,91.690002,90.199997,90.919998,87.873596,7647800
2017-11-13,91.040001,91.980003,90.870003,90.989998,87.941254,8491600
2017-11-14,90.699997,91.199997,90.180000,91.089996,88.037903,9834100
2017-11-15,90.339996,90.849998,89.650002,89.830002,86.820122,8433400
2017-11-16,95.120003,99.680000,94.720001,99.620003,96.282089,38122400
2017-11-17,99.239998,100.129997,96.580002,97.470001,94.204147,23575500
2017-11-20,96.440002,97.639999,95.760002,97.480003,94.213806,16394300
2017-11-21,97.739998,97.919998,96.320000,96.519997,93.285965,12746500
2017-11-22,96.650002,96.809998,96.110001,96.410004,93.179665,8918200
2017-11-24,96.870003,97.230003,96.529999,96.620003,93.382607,4496100
2017-11-27,96.849998,97.650002,96.300003,96.620003,93.382607,8904900
2017-11-28,96.589996,96.889999,95.820000,96.769997,93.527580,8709600
2017-11-29,97.220001,98.260002,96.879997,97.559998,94.291115,11424000
2017-11-30,98.089996,98.440002,96.510002,97.230003,93.972176,12854700
2017-12-01,97.610001,97.709999,96.230003,97.349998,94.088150,8296200
2017-12-04,97.730003,97.959999,96.680000,97.010002,93.759552,8956500
2017-12-05,97.000000,97.940002,96.919998,97.830002,94.552078,9010100
2017-12-06,97.989998,98.139999,97.239998,97.279999,94.020508,7141000
2017-12-07,97.059998,97.580002,96.650002,96.779999,94.030205,7502600
2017-12-08,96.300003,96.699997,96.139999,96.550003,93.806755,5821100
2017-12-11,96.959999,97.269997,96.290001,96.930000,94.175964,8928900
2017-12-12,96.849998,97.239998,96.599998,96.699997,93.952477,7810600
2017-12-13,96.660004,97.910004,96.550003,97.760002,94.982368,7879400
2017-12-14,98.000000,98.570000,97.099998,97.129997,94.370270,9385800
2017-12-15,97.709999,98.489998,96.910004,97.110001,94.350838,16142800
2017-12-18,97.379997,98.169998,97.360001,97.900002,95.118393,7964400
2017-12-19,99.910004,99.910004,98.290001,98.800003,95.992821,12012200
2017-12-20,99.449997,99.650002,98.449997,98.750000,95.944237,10729800
2017-12-21,99.000000,99.330002,97.980003,98.059998,95.273842,7369100
2017-12-22,98.290001,98.419998,97.680000,98.209999,95.419579,5478700
2017-12-26,98.349998,99.440002,98.349998,99.160004,96.342598,4295900
2017-12-27,99.559998,99.599998,98.830002,99.260002,96.439751,5140800
2017-12-28,99.519997,99.620003,99.120003,99.400002,96.575775,9763900
2017-12-29,99.400002,99.690002,98.750000,98.750000,95.944237,7144300
2018-01-02,99.300003,99.790001,98.519997,98.589996,95.788788,10150500
2018-01-03,98.849998,100.000000,98.769997,99.449997,96.624352,8903600
2018-01-04,99.540001,99.779999,98.910004,99.540001,96.711800,6830400
2018-01-05,99.639999,100.379997,99.610001,100.129997,97.285027,7284000
2018-01-08,100.250000,101.750000,100.209999,101.610001,98.722977,8843900
2018-01-09,102.029999,102.349998,100.309998,100.389999,97.537643,7312700
2018-01-10,99.750000,99.889999,98.529999,99.669998,96.838097,7930400
2018-01-11,99.699997,100.449997,98.779999,100.019997,97.178146,6537700
2018-01-12,100.389999,101.440002,100.300003,100.870003,98.004013,6951200
2018-01-16,101.339996,101.910004,100.339996,100.690002,97.829124,7170700
2018-01-17,101.150002,102.940002,100.699997,102.699997,99.782005,8610600
2018-01-18,104.739998,104.940002,103.620003,104.300003,101.336555,12307900
2018-01-19,104.639999,104.930000,103.660004,104.589996,101.618301,8378600
2018-01-22,104.500000,105.449997,104.040001,105.449997,102.453873,7308300
2018-01-23,105.290001,106.150002,104.570000,105.900002,102.891090,8287800
2018-01-24,106.349998,106.440002,104.820000,105.790001,102.784225,6823100
2018-01-25,105.849998,106.809998,105.849998,106.599998,103.571198,5857100
2018-01-26,107.000000,108.410004,106.680000,108.389999,105.310341,6786300
2018-01-29,108.110001,109.980003,107.989998,109.550003,106.437393,8355200
2018-01-30,109.139999,109.360001,107.150002,107.730003,104.669106,9180500
2018-01-31,107.769997,108.180000,106.070000,106.599998,103.571198,9812800
2018-02-01,105.959999,106.559998,105.180000,105.519997,102.521889,6386800
2018-02-02,105.150002,106.470001,104.150002,104.480003,101.511444,9253100
2018-02-05,103.400002,104.610001,97.089996,100.089996,97.246170,12561600
2018-02-06,97.639999,101.080002,97.250000,100.900002,98.033150,16413800
2018-02-07,100.500000,104.589996,100.010002,102.849998,99.927742,11165200
2018-02-08,103.230003,103.480003,100.000000,100.019997,97.178146,13975100
2018-02-09,100.529999,101.099998,96.430000,99.370003,96.546631,14184600
2018-02-12,100.129997,100.449997,98.800003,99.550003,96.721512,9135100
2018-02-13,99.330002,101.220001,99.330002,100.980003,98.110886,6622800
2018-02-14,100.860001,102.250000,100.209999,101.699997,98.810417,7307600
2018-02-15,102.550003,103.639999,101.830002,103.230003,100.296959,7494900
2018-02-16,103.089996,104.940002,101.980003,104.779999,101.802910,16064300
2018-02-20,96.989998,97.940002,94.099998,94.110001,91.436073,52088500
2018-02-21,95.110001,95.339996,91.239998,91.519997,88.919662,49503700
2018-02-22,91.430000,93.389999,91.309998,92.769997,90.134140,20365000
2018-02-23,92.879997,93.489998,91.760002,92.889999,90.250748,12791500
2018-02-26,92.900002,93.800003,92.220001,93.120003,90.474205,14699300
2018-02-27,93.629997,93.720001,91.510002,91.519997,88.919662,13376100
2018-02-28,92.000000,92.099998,90.000000,90.010002,87.452568,14143700
2018-03-01,90.169998,90.180000,87.709999,89.080002,86.548996,18909600
2018-03-02,87.269997,88.900002,87.239998,88.769997,86.247803,19043400
2018-03-05,88.139999,90.500000,88.070000,89.980003,87.423424,13383200
2018-03-06,90.349998,90.500000,88.629997,89.059998,86.529556,11054700
2018-03-07,87.980003,88.529999,87.339996,87.739998,85.247070,11453000
2018-03-08,87.769997,88.129997,87.339996,87.919998,85.931229,9588700
2018-03-09,88.239998,88.720001,87.529999,88.720001,86.713142,9754400
2018-03-12,88.699997,89.440002,87.879997,88.070000,86.077843,8474000
2018-03-13,88.389999,88.900002,87.980003,88.300003,86.302635,7173000
2018-03-14,88.510002,88.989998,87.500000,87.669998,85.686890,11040600
2018-03-15,87.680000,88.790001,85.900002,87.510002,85.530510,16615200
2018-03-16,87.720001,90.089996,87.500000,89.169998,87.152954,28396000
2018-03-19,88.910004,89.080002,87.099998,87.449997,85.471863,12053400
2018-03-20,87.860001,88.150002,87.370003,87.949997,85.960548,8258000
2018-03-21,87.889999,89.680000,87.680000,88.180000,86.185349,11836000
2018-03-22,87.529999,88.269997,86.989998,87.139999,85.168877,12248200
2018-03-23,87.349998,87.690002,85.279999,85.419998,83.487785,10125100
2018-03-26,86.220001,87.690002,86.110001,87.500000,85.520729,9199800
2018-03-27,87.959999,88.040001,85.480003,86.050003,84.103539,6545800
2018-03-28,86.260002,88.239998,86.190002,87.769997,85.784622,11576300
2018-03-29,87.900002,89.339996,87.769997,88.970001,86.957481,9274600
2018-04-02,88.000000,88.239998,84.839996,85.550003,83.614845,19128900
2018-04-03,86.250000,86.949997,85.550003,86.800003,84.836563,9695500
2018-04-04,85.599998,87.500000,85.440002,87.220001,85.247070,6536600
2018-04-05,87.599998,88.349998,87.050003,87.809998,85.823715,6380900
2018-04-06,86.830002,87.900002,86.129997,86.690002,84.729057,6350000
2018-04-09,86.849998,87.449997,86.239998,86.279999,84.328331,8368100
2018-04-10,86.839996,87.099998,85.660004,86.449997,84.494484,9127400
2018-04-11,86.000000,86.860001,85.800003,85.910004,83.966705,6279000
2018-04-12,86.190002,86.830002,85.410004,85.430000,83.497559,6856300
2018-04-13,85.889999,86.269997,85.190002,86.019997,84.074203,7559200
2018-04-16,86.199997,87.650002,86.120003,86.839996,84.875664,7020700
2018-04-17,87.480003,88.169998,87.410004,87.900002,85.911682,6801900
2018-04-18,88.199997,88.559998,87.510002,87.570000,85.589149,5854000
2018-04-19,87.410004,88.040001,86.580002,87.889999,85.901917,6588300
2018-04-20,87.870003,88.379997,86.669998,86.980003,85.012497,8324900
2018-04-23,86.889999,87.080002,86.019997,86.099998,84.152397,7360500
2018-04-24,86.769997,86.910004,85.570000,86.529999,84.572670,8469700
2018-04-25,86.320000,87.699997,85.889999,87.169998,85.198196,6760400
2018-04-26,87.169998,88.320000,86.900002,87.940002,85.950775,5782500
2018-04-27,87.870003,87.900002,87.080002,87.290001,85.315483,5651100
2018-04-30,87.940002,89.660004,87.919998,88.459999,86.459023,8685900
2018-05-01,87.669998,88.010002,86.349998,87.410004,85.432770,6957700
2018-05-02,87.129997,87.250000,86.160004,86.339996,84.386963,6083000
2018-05-03,86.190002,86.290001,85.120003,86.230003,84.279457,6876100
2018-05-04,86.000000,88.099998,85.360001,87.529999,85.550056,6971500
2018-05-07,87.489998,87.500000,85.269997,85.470001,83.536652,10783600
2018-05-08,85.519997,85.849998,84.919998,85.739998,83.800545,6551400
2018-05-09,82.559998,83.680000,82.000000,83.059998,81.181168,32265200
2018-05-10,82.639999,83.769997,82.010002,82.690002,81.328697,15857600
2018-05-11,82.690002,83.519997,81.949997,83.379997,82.007339,9934800
2018-05-14,83.889999,84.790001,83.650002,84.389999,83.000702,9499200
2018-05-15,84.059998,84.879997,83.800003,84.519997,83.128563,9322900
2018-05-16,84.870003,86.129997,84.739998,86.129997,84.712059,13733600
2018-05-17,87.040001,87.589996,83.849998,84.489998,83.099060,29720700
2018-05-18,84.239998,84.440002,83.489998,83.639999,82.263054,12043100
2018-05-21,84.139999,84.540001,83.820000,84.510002,83.118736,10715700
2018-05-22,84.500000,84.809998,83.290001,83.370003,81.997505,8067300
2018-05-23,82.949997,83.019997,82.169998,83.010002,81.643425,9231000
2018-05-24,83.000000,83.000000,81.779999,82.849998,81.486061,8576200
2018-05-25,82.849998,83.339996,82.320000,82.459999,81.102478,5913500
2018-05-29,81.959999,82.519997,81.809998,82.400002,81.043465,8428200
2018-05-30,82.449997,84.230003,82.260002,84.120003,82.735153,9314100
2018-05-31,83.940002,84.309998,82.510002,82.540001,81.181160,11468700
2018-06-01,83.040001,83.419998,82.849998,82.989998,81.623749,5237900
2018-06-04,83.500000,85.519997,83.300003,85.419998,84.013756,10922000
2018-06-05,85.449997,85.470001,84.250000,84.620003,83.226921,8281400
2018-06-06,84.949997,85.150002,84.349998,84.559998,83.167900,7362800
2018-06-07,84.779999,85.760002,84.690002,84.949997,83.551491,7705700
2018-06-08,84.779999,85.190002,84.139999,84.360001,82.971207,7602400
